comment-id,comment-date,comment-author,comment,comment-likes,video-id,video-title,video-date,video-link,video-likes,video-views,video-channel,video-comment-count
0.UgwCN3LYe6_7mhQwvPF4AaABAg,2021-05-13T13:48:34Z,Allan Niedyson,Para fazer videos ele e bom .?,0,KyZrwn2zvuQ,XIAOMI REDMI NOTE 9S - Minha Opinião SINCERA! | Hands-on,2020-05-16T13:30:02Z,https://www.youtube.com/watch?v=KyZrwn2zvuQ,23604,512882,EscolhaSegura,1391
1.Ugy7sSdqZBNru0HSeb94AaABAg,2021-05-10T14:42:38Z,Diana Silva,Amo tirar fotos tinha um moto G6 play e vi muito diferença,0,kX2xqUDqfRA,Motorola Moto G9 Play vs Moto G9 Power - QUAL COMPRAR? QUAL O MELHOR PRA VOCÊ? COMPARATIVO!,2021-02-04T14:51:00Z,https://www.youtube.com/watch?v=kX2xqUDqfRA,20068,290832,Gesiel Taveira,1108
2.Ugw2f2NsRy7dpbJPVtB4AaABAg,2021-03-09T03:06:35Z,Fsilva Qxd,"Parabéns, foi o melhor review que vi do S20, ajudou na minha escolha.",4,VxD0GpJ4SlI,SAMSUNG GALAXY S20 [Opinião Sincera],2020-11-23T22:30:28Z,https://www.youtube.com/watch?v=VxD0GpJ4SlI,5940,120087,Rodrigo Moreira,810
3.UgzVsZRtAoNo1Ov_3R14AaABAg,2021-06-01T19:26:24Z,Cristian Valim,Lixo.,0,Y2AKP4nFviA,GALAXY A10s O BARATINHO DA SAMSUNG VALE A PENA o PREÇO? #UNBOXING,2020-03-10T21:30:00Z,https://www.youtube.com/watch?v=Y2AKP4nFviA,13243,271419,TukEmperial,1569
4.UgyWtQeKTK1g3x3gTQt4AaABAg,2021-01-16T20:37:23Z,Dutyz,"Comprei o meu hj, tô gostando muito",2,9T0kwmn_hVU,REDMI NOTE 9S TÁ NA MÃO ! O Maior SUCESSO da XIAOMI !,2020-04-01T21:00:05Z,https://www.youtube.com/watch?v=9T0kwmn_hVU,51734,840887,K Tech,2601
5.UgzG-wFdTq6QMFmQRPl4AaABAg,2020-12-14T10:42:19Z,Diana Botelho,Essas câmeras que sobe e desce só dar problema com o tempo. Minha amiga tinha um a80 que deu problema a câmera,7,AOtvIGrMvXw,"MOTO G9 PLUS vs ONE FUSION PLUS: mesmo processador, EXPERIÊNCIAS BEM DIFERENTES | Comparativo",2020-10-29T22:18:00Z,https://www.youtube.com/watch?v=AOtvIGrMvXw,4577,90525,TudoCelular,350
6.UgzcKIUQJ_iR8YjOgXB4AaABAg,2021-03-08T17:14:18Z,vitorolho,9:15  e pra fecha fafaltou a bateria kkkkk,0,arTLY7nj4Y0,SAMSUNG GALAXY A71 vale a pena? | Análise / Review Completo,2020-02-16T17:24:43Z,https://www.youtube.com/watch?v=arTLY7nj4Y0,30067,565112,EscolhaSegura,2007
7.UgxjdbAOxLn48GAOFel4AaABAg,2021-03-07T05:57:45Z,Eduardo Pereira,Não adianta falar brasileiro é trouxa e compra por mim vai ficar pegando poeira e apodrecer nas prateleiras ;É porque ainda não consegui passar uma semana nos Estados Unidos passo uma semana trabalhando lá no Mc Donalds e compro um em um dia a vista ;Brasil 7k nem a pau,0,Zgopyc5Y6wY,GALAXY S21 ULTRA é EXTRAORDINÁRIO em cada detalhe? UNBOXING e COMENTÁRIOS,2021-01-28T21:11:03Z,https://www.youtube.com/watch?v=Zgopyc5Y6wY,7940,143209,Matheus Kise,618
8.UgzfquuETJVC6_qkC2x4AaABAg,2021-02-09T08:27:04Z,grinna1,Esse s20 tem radio FM?,0,AIK3P1jZ4T4,4 meses com o Galaxy S20: Sucesso ou decepção? (Review e opinião),2020-08-04T20:03:09Z,https://www.youtube.com/watch?v=AIK3P1jZ4T4,10723,180031,Rodrigo Vieira - RSSV,815
9.UgzEAQGGkmJMwpbS7GF4AaABAg,2021-05-18T03:33:06Z,Fernando Corrêa sant'ana,Não  conhecia seu trabalho mais me ganhou quando disse não  use droga super apoio pois usei e só  perdi e fica com Deus fiquei 17anos e meio  como travesti ladra e drogado hoje sou restauro pelo poder da palavra,1,7wi8hQGmjCo,Xiaomi POCO X3! A VERDADE! Não Vale a pena❓ NÃO COMPRE SEM VER ESSE VÍDEO!,2021-04-12T23:17:09Z,https://www.youtube.com/watch?v=7wi8hQGmjCo,4107,57379,Dudu Rocha,713
