iter	MultiClass
0	1.079778931
1	1.061038253
2	1.046862051
3	1.030697587
4	1.018154056
5	1.006305607
6	0.995299905
7	0.9855933102
8	0.9762366623
9	0.9678800734
10	0.9601137254
11	0.9526098453
12	0.9449797297
13	0.9385785766
14	0.9316932482
15	0.9258706772
16	0.9208114496
17	0.9169874736
18	0.9103431763
19	0.90519496
20	0.8985085106
21	0.8935181106
22	0.889509827
23	0.8859069443
24	0.8815112503
25	0.876344706
26	0.8712375173
27	0.8668576675
28	0.8625073771
29	0.8577917736
30	0.8551706959
31	0.8525666145
32	0.8486644231
33	0.8449238506
34	0.8418722085
35	0.8381214586
36	0.8343655533
37	0.8320924787
38	0.8282232249
39	0.8248017621
40	0.8216904459
41	0.8182528423
42	0.8148340089
43	0.8110154002
44	0.8083365463
45	0.8052618801
46	0.8024423942
47	0.798534849
48	0.796000332
49	0.7935878597
50	0.7901763655
51	0.7871649933
52	0.7840759498
53	0.7823859723
54	0.7805028709
55	0.7778149135
56	0.7747397149
57	0.7728642964
58	0.7711969823
59	0.7693456442
60	0.7670380774
61	0.7647626898
62	0.7627976798
63	0.7599357577
64	0.755905526
65	0.7527748333
66	0.7499205554
67	0.7470383859
68	0.7455231557
69	0.7426429546
70	0.7400500843
71	0.7369791423
72	0.7355340791
73	0.7342423134
74	0.7332775685
75	0.7309467388
76	0.7289829543
77	0.7269764823
78	0.7245076474
79	0.7225365509
80	0.7202418642
81	0.7189497865
82	0.7173169702
83	0.7151982102
84	0.7119740338
85	0.7091920491
86	0.7072673666
87	0.7047592767
88	0.7026793367
89	0.6999561122
90	0.6983339262
91	0.6967173776
92	0.6941203904
93	0.6930692055
94	0.6917277356
95	0.6900436556
96	0.6875679079
97	0.6861477896
98	0.6842889819
99	0.6805817828
100	0.679041338
101	0.6756566318
102	0.6737867314
103	0.6723001925
104	0.6693568403
105	0.6661217123
106	0.6627767063
107	0.6606072593
108	0.6594078768
109	0.6586789854
110	0.6572182715
111	0.6556323785
112	0.6524753823
113	0.6501692656
114	0.6477491601
115	0.6455683731
116	0.6446278628
117	0.6439190422
118	0.6420782417
119	0.6410285543
120	0.6394769477
121	0.6381872657
122	0.6359679853
123	0.6335354558
124	0.6327364131
125	0.6314171385
126	0.6286730055
127	0.6270304398
128	0.6256765278
129	0.6249032546
130	0.6218849799
131	0.6193580891
132	0.618483104
133	0.6175696184
