iter	Passed	Remaining
0	44	44257
1	82	41160
2	117	39110
3	155	38731
4	187	37350
5	221	36710
6	254	36079
7	295	36656
8	338	37256
9	382	37856
10	431	38805
11	479	39453
12	533	40539
13	584	41142
14	636	41788
15	678	41729
16	720	41661
17	767	41877
18	813	42008
19	853	41829
20	898	41909
21	945	42010
22	986	41919
23	1029	41881
24	1070	41750
25	1116	41836
26	1163	41935
27	1203	41781
28	1244	41676
29	1284	41536
30	1333	41691
31	1378	41710
32	1427	41822
33	1467	41689
34	1512	41690
35	1556	41683
36	1597	41577
37	1639	41509
38	1682	41458
39	1726	41438
40	1767	41333
41	1812	41341
42	1859	41382
43	1902	41340
44	1941	41198
45	1981	41089
46	2024	41050
47	2069	41048
48	2113	41024
49	2156	40965
50	2195	40857
51	2239	40832
52	2286	40852
53	2326	40750
54	2369	40719
55	2412	40671
56	2452	40577
57	2495	40523
58	2539	40498
59	2577	40386
60	2620	40340
61	2666	40335
62	2709	40297
63	2753	40273
64	2796	40231
65	2842	40226
66	2882	40134
67	2929	40148
68	2974	40127
69	3019	40115
70	3066	40120
71	3109	40079
72	3149	39999
73	3191	39931
74	3236	39922
75	3278	39862
76	3313	39722
77	3359	39709
78	3405	39696
79	3448	39661
80	3496	39674
81	3551	39763
82	3603	39807
83	3646	39761
84	3695	39784
85	3742	39776
86	3784	39719
87	3830	39698
88	3903	39954
89	3964	40088
90	4009	40051
91	4045	39928
92	4081	39802
93	4120	39714
94	4166	39690
95	4209	39636
96	4255	39614
97	4300	39586
98	4347	39570
99	4391	39526
100	4437	39496
101	4482	39464
102	4523	39395
103	4570	39374
104	4617	39358
105	4665	39346
106	4714	39349
107	4763	39340
108	4810	39326
109	4853	39272
110	4900	39247
111	4947	39229
112	4994	39204
113	5037	39148
114	5082	39112
115	5126	39065
116	5169	39013
117	5212	38958
118	5251	38881
119	5297	38851
120	5341	38802
121	5380	38718
122	5427	38698
123	5475	38680
124	5521	38647
125	5563	38589
126	5604	38522
127	5649	38488
128	5694	38450
129	5739	38407
130	5782	38358
131	5826	38311
132	5869	38260
133	5916	38234
134	5964	38215
135	6013	38204
136	6061	38185
137	6109	38164
138	6164	38181
139	6218	38198
140	6270	38203
141	6317	38172
142	6367	38158
143	6414	38131
144	6457	38079
145	6508	38068
