Celular,Faixa de preço até
Samsung Galaxy A10s,1000
Moto E7,1000
LG K22,1000
Xiaomi Redmi 9,1000
Philco Hit Max,1000
Motorola Moto G9 Power,2000
Samsung Galaxy M31,2000
Motorola One Fusion Plus,2000
Samsung Galaxy A71,2000
Poco X3 NFC,2000
Redmi Note 9S,2000
Samsung Galaxy M51,2500
Samsung Galaxy Note 10 Lite,2500
Xiaomi Mi 10 Lite 5G,2500
LG Velvet,2500
iPhone SE,2500
Samsung Galaxy Note 10,3000
Samsung Galaxy S20,3000
Galaxy S20 FE,3000
Xiaomi Mi 10T Lite,3000
Motorola Edge/Edge+,3000+
iPhone 12,3000+
ASUS ROG Phone 3,3000+
Galaxy S21 Ultra,3000+
Xiaomi Mi 10T/10T Pro,3000+
Galaxy Z Fold 2,3000+
