comment-id,comment-date,comment-author,comment,comment-likes,video-id,video-title,video-date,video-link,video-likes,video-views,video-channel,video-comment-count
0.UgwozCGH-HDyIES2ciF4AaABAg,2020-12-20T22:44:18Z,POP 0stras,Uma porcaria. Comprei faz 3 meses. Muito arrependida. Buga o tempo todo. Tem que reiniciar para voltar a funcionar. Não recomendo. Vai ser prejuízo e decepção para quem comprar...,0,jSv8fxe3_KU,"GALAXY NOTE 10 LITE, FAZ SENTIDO COMPRAR? [Hands-On]",2020-02-19T16:00:09Z,https://www.youtube.com/watch?v=jSv8fxe3_KU,18773,307422,Canaltech,1013
1.Ugy_N3KoxHrAGMxN09V4AaABAg,2019-08-07T17:19:55Z,Caio Ellery,esse note 10+ vai custar uma *facada*,0,flYuZ1KBaKM,É ASSIM O SAMSUNG GALAXY NOTE 10! SAMSUNG ERROU MESMO?,2019-08-06T22:02:24Z,https://www.youtube.com/watch?v=flYuZ1KBaKM,10581,128218,Dudu Rocha,714
2.UgwGK6a1K_GUxvuwPot4AaABAg,2020-12-16T04:18:26Z,jonatas santos,O meu 9s tá durando mais de 2 dias eu não tô nem acreditando kkk,0,KyZrwn2zvuQ,XIAOMI REDMI NOTE 9S - Minha Opinião SINCERA! | Hands-on,2020-05-16T13:30:02Z,https://www.youtube.com/watch?v=KyZrwn2zvuQ,23604,512882,EscolhaSegura,1391
3.Ugzuo_fNCeU10B0Iqv54AaABAg,2021-04-19T01:28:56Z,tout a commencé en France,Assistindo com o meu a51 e agora estou querendo o s21 kkkkkkk,10,6LwYbm71AJM,Review GALAXY S21 ULTRA! Agora sim a SAMSUNG fez o que DEVERIA ter FEITO! Análise completa!,2021-04-07T22:00:01Z,https://www.youtube.com/watch?v=6LwYbm71AJM,5287,91701,Be!Tech,430
4.UgzaPxJpaltmYRPm7WZ4AaABAg,2021-06-03T22:58:59Z,Tasio de Luanda Luanda,Bom eu tenho problemas e com poeira água e queda,0,5JWFHfF4nGg,SAMSUNG GALAXY M31 // um INTERMEDIÁRIO com 6000mAh de BATERIA e 128GB de armazenamento!,2020-07-09T21:19:36Z,https://www.youtube.com/watch?v=5JWFHfF4nGg,22040,304881,EscolhaSegura,1413
5.Ugxg7N1mhRETPeDd0jB4AaABAg,2021-03-04T02:37:38Z,ᴘ ʀ ɪ ɴ ᴄ ᴇ s ᴀッ™,Se no Samsung vier os emoji do iPhone eu me rendo 🙇‍♀️🙇‍♀️🙇‍♀️ por enquanto no xaiomi que é mais barato KKKKKKK,0,vOVz5rPk2vU,GALAXY NOTE 10 e GALAXY NOTE 10 PLUS!,2019-08-07T23:00:51Z,https://www.youtube.com/watch?v=vOVz5rPk2vU,196838,2130935,Coisa de Nerd,5604
6.Ugwxvye3XUXp-6GdwxV4AaABAg,2021-03-03T20:09:55Z,Eu Mesmo,"Smartphone gamer muito excelentente msm, mas fiquei muito desapontado pq n veio o fone e nem a placa de video q prometia",0,TdALKXTVZRU,ROG PHONE 3: UNBOXING DO SMARTPHONE MAIS PODEROSO DE 2020!,2020-07-22T15:30:08Z,https://www.youtube.com/watch?v=TdALKXTVZRU,62254,942191,Loop Infinito,2266
7.UgyDeMj0hgG4LV-Huqd4AaABAg,2021-06-26T18:53:54Z,Vivendo como um Girassol🌻,"O MOTO G9 POWER está em promoção, 1.300!🤧",1,efbnQ2I3zIg,CHEGOU! Motorola MOTO G9 POWER com FORÇA TOTAL? Unboxing e Impressões,2020-12-10T12:00:09Z,https://www.youtube.com/watch?v=efbnQ2I3zIg,34967,419324,Gesiel Taveira,1907
8.UgyUFnshquFgIVYR1-x4AaABAg,2021-02-28T21:44:34Z,TURBINHO GAMES,É tenho uma pergunta sobre a tela não é amoled mais é otima até aí tudo bem mais no video do poco x3 creticam a mesma tela,0,mp_aDo-uH6I,"Xiaomi Mi 10T e 10T Pro, valem a pena ou não? [Análise/Review]",2021-01-27T14:00:53Z,https://www.youtube.com/watch?v=mp_aDo-uH6I,7419,128625,Canaltech,495
9.Ugw2bqwrecFWRBCeEBp4AaABAg,2021-02-08T01:43:13Z,Junior Rodrigues,"Celular mt bom, vou comprar um",1,UOczVkDtNy0,"Análise do Samsung Galaxy A71: 06 meses depois, VALE A PENA?",2020-09-06T21:30:00Z,https://www.youtube.com/watch?v=UOczVkDtNy0,11642,249103,Mundo Conectado,1327
