video-dislikes,video-title,video-link,video-likes,video-views,video-date,video-channel,video-comment-count
269,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,2020-01-14T22:49:21Z,TudoCelular,881
1655,GALAXY A10s - Mais um ERRO da SAMSUNG?! Unboxing e Impressões,https://www.youtube.com/watch?v=3no1FdndZiU,46174,736435,2020-01-12T13:50:01Z,Gesiel Taveira,3811
51,Galaxy A10s é Bom? Vale a Pena? Análise Completa! (2021),https://www.youtube.com/watch?v=Mci38I3CajU,3533,99724,2020-04-01T13:00:12Z,Canal É Bom?,720
103,NOVO GALAXY A10S |BATERIA MAIOR E SENSOR DE DIGITAIS | ANÁLISE / REVIEW,https://www.youtube.com/watch?v=BfgqI5xndTU,6457,128228,2019-12-07T21:00:00Z,brasiliGEEKS,707
3713,"Samsung Galaxy A10s: um pouco diferente, mas nada melhor [Unboxing/Hands-on]",https://www.youtube.com/watch?v=4AXbgJWOBVc,11982,231758,2020-01-20T16:00:01Z,Canaltech,837
698,GALAXY A10s O BARATINHO DA SAMSUNG VALE A PENA o PREÇO? #UNBOXING,https://www.youtube.com/watch?v=Y2AKP4nFviA,13243,271419,2020-03-10T21:30:00Z,TukEmperial,1569
210,O acessível Galaxy A10S é bom o suficiente? Eu usei (Review),https://www.youtube.com/watch?v=YVNBfJ-rGTI,3872,66238,2020-03-17T15:33:07Z,Rodrigo Vieira - RSSV,407
445,"NOVO GALAXY A10S (SIM, MAIS UM!!!) UNBOXING E IMPRESSÕES",https://www.youtube.com/watch?v=8S7KLrWQ_HA,23175,533701,2019-11-20T21:00:02Z,brasiliGEEKS,2007
702,Galaxy A10s vs. A20s vs. A30s [Comparativo],https://www.youtube.com/watch?v=34hjRzCIk8g,30947,527370,2020-01-24T00:00:00Z,Canaltech,2074
228,GALAXY A10 vs A10s: a Samsung FINALMENTE ACERTOU em um sucessor? | Comparativo,https://www.youtube.com/watch?v=K_MTtcFaht4,9722,233219,2020-01-28T17:02:17Z,TudoCelular,785
636,"Galaxy A10s, A20s, A30s, A51 e A71 [Comparativo]",https://www.youtube.com/watch?v=H_k3MRxVk7A,28268,462534,2020-06-19T16:00:07Z,Canaltech,1886
1889,"Samsung Galaxy A10, o mais Galaxy J de 2019",https://www.youtube.com/watch?v=BLIhZ77JggI,32199,606401,2019-07-26T22:45:00Z,Canaltech,2097
134,MOTO E7 PLUS: definições de CELULAR BOM e BARATO atualizadas com SUCESSO | Análise / Review,https://www.youtube.com/watch?v=xZEIOL1dzcE,9073,234255,2020-11-25T22:12:47Z,TudoCelular,846
208,"MOTO E7 PLUS! O mais ""BASICÃO"" da MOTOROLA EVOLUIU e FICOU BEM INTERSSANTE! UNBOXING!",https://www.youtube.com/watch?v=Tkca_FXdzqY,11223,250855,2020-10-03T19:26:53Z,Be!Tech,1632
41,"MOTO E7 POWER (Sim, MAIS UM)! BATERIA ENORME e Preço ABAIXO dos MIL REAIS | Unboxing e Impressões",https://www.youtube.com/watch?v=-gANghKyLiY,3034,53330,2021-02-23T22:27:27Z,brasiliGEEKS,348
94,MOTO E7 PLUS - 4 MOTIVOS PARA COMPRAR E 4 PARA NÃO COMPRAR!!! 💸,https://www.youtube.com/watch?v=MywBmKaRyRc,3388,50056,2021-04-01T21:26:11Z,DicioTech - Por Gabriell Dassi,622
109,JÁ TÁ NA MÃO! MOTO E7 PLUS | Lançamento MOTOROLA | Unboxing e Impressões,https://www.youtube.com/watch?v=Adj3fttlhNg,7098,112331,2020-09-16T22:20:35Z,brasiliGEEKS,879
52,"LG K22 / K22+ | Smartphone MUITO BARATO, mas VALE A PENA? Análise / Review",https://www.youtube.com/watch?v=dpvskZNHIzU,3579,82984,2020-11-05T22:30:22Z,brasiliGEEKS,505
85,LG K22 é bom? Vale a Pena? Análise Completa,https://www.youtube.com/watch?v=6NgZeAQLdqA,3507,132714,2020-09-30T21:00:00Z,Canal É Bom?,817
1533,A LG forçou a barra com esse K22! E acho que VOCÊ também não vai gostar,https://www.youtube.com/watch?v=MAlHxOtQI9I,26878,498332,2020-09-13T16:40:00Z,Gesiel Taveira,3822
83,"LG K22 / K22+ | MUITO BARATO, mas VALE A PENA COMPRAR?",https://www.youtube.com/watch?v=zCRDEorurB0,5214,120172,2021-01-21T21:44:55Z,brasiliGEEKS,724
262,LG K22 / K22+ | Mais um LANÇAMENTO que ESTÁ AQUI! Unboxing e Impressões,https://www.youtube.com/watch?v=sGUB3oX00Mk,10393,249931,2020-09-25T00:05:05Z,brasiliGEEKS,1512
91,LG K22 + | VALE A PENA? PARA QUEM É?,https://www.youtube.com/watch?v=ACENQ2gehvM,2649,75679,2020-10-21T06:21:07Z,Área Tech,475
440,LG K22 [Análise / Review] - TecNoob,https://www.youtube.com/watch?v=ZuWduklzOPE,4572,185362,2020-09-22T21:06:01Z,TecNoob,865
47,LG K22 vs A01 (Comparativo),https://www.youtube.com/watch?v=NQoe8evYJ78,2234,68410,2020-10-04T15:00:10Z,fone-se,532
231,"Redmi 9, ESSE é o que VALE a pena? [Análise/Review]",https://www.youtube.com/watch?v=JOWrERsqHxg,11456,121289,2020-10-03T21:00:03Z,Canaltech,669
69,Redmi 9: o baratinho da Xiaomi vale a pena em 2021? - review/análise,https://www.youtube.com/watch?v=L0dWus1ex30,3960,81640,2021-02-12T22:15:00Z,Oficina da Net,731
340,Chegou! Redmi 9 - SERÁ esse o MELHOR XIAOMI CUSTO-BENEFÍCIO? Unboxing e Impressões,https://www.youtube.com/watch?v=YBpvb1fxHFo,38891,520362,2020-07-29T14:15:01Z,Gesiel Taveira,2861
450,"REDMI 9 ainda é um CELULAR BARATO e BOM DE JOGO, mas com PROBLEMAS | Análise / Review",https://www.youtube.com/watch?v=wxxsLxWZjcs,3159,56633,2020-10-23T22:51:31Z,TudoCelular,685
94,REDMI 9A: CELULAR BARATO da XIAOMI conquista pela BATERIA | Análise / Review,https://www.youtube.com/watch?v=LNt5qeYqRmI,2468,58169,2020-11-30T22:02:09Z,TudoCelular,411
249,Olha ele! REDMI 9A - O XIAOMI MAIS BARATO DE 2020! VALE A PENA? Unboxing e Primeiras Impressões,https://www.youtube.com/watch?v=1SNLCknahKU,10724,266802,2020-08-04T22:00:01Z,L Tech,1394
111,XIAOMI REDMI 9 vale a pena? É O CUSTO BENEFÍCIO DE 2020?,https://www.youtube.com/watch?v=AmF9XRmeQPA,8429,135881,2020-08-18T21:43:33Z,EscolhaSegura,859
385,"Redmi Note 9, BARATO ou FORA DA REALIDADE? [Análise/Review]",https://www.youtube.com/watch?v=Agc-V0-64k4,16268,233657,2020-07-20T00:00:03Z,Canaltech,745
29,PERFEITO PELO PREÇO💲Xiaomi Redmi 9 Global🔥Análise,https://www.youtube.com/watch?v=Tp4JrKQ_Bc0,2623,52637,2020-06-30T16:43:18Z,Tiago Ramos,240
