video-title,video-link,video-views,video-date,video-channel
SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,https://www.youtube.com/watch?v=h9lBf0X_xFY,263 mil visualizações,há 1 ano,TudoCelular
GALAXY A10s - Mais um ERRO da SAMSUNG?! Unboxing e Impressões,https://www.youtube.com/watch?v=3no1FdndZiU,734 mil visualizações,há 1 ano,Gesiel Taveira
Galaxy A10s é Bom? Vale a Pena? Análise Completa! (2021),https://www.youtube.com/watch?v=Mci38I3CajU,99 mil visualizações,há 1 ano,Canal É Bom?
NOVO GALAXY A10S |BATERIA MAIOR E SENSOR DE DIGITAIS | ANÁLISE / REVIEW,https://www.youtube.com/watch?v=BfgqI5xndTU,127 mil visualizações,há 1 ano,brasiliGEEKS
Galaxy A10S é bom? Vale a pena comprar? ANÁLISE/REVIEW,https://www.youtube.com/watch?v=hQspDpO-4-w,35 mil visualizações,há 1 ano,Tt Tech
"Samsung Galaxy A10s: um pouco diferente, mas nada melhor [Unboxing/Hands-on]",https://www.youtube.com/watch?v=4AXbgJWOBVc,231 mil visualizações,há 1 ano,Canaltech
ANÁLISE | SAMSUNG GALAXY A10S!!! SERÁ QUE VALE A PENA HOJE EM DIA?,https://www.youtube.com/watch?v=ntVCDWaR3Gg,"1,4 mil visualizações",há 9 meses,Análise Geral
Galaxy A10S | Nova cor AZUL ABSURDO | Análise Completa | Ainda VALE A PENA em 2021?,https://www.youtube.com/watch?v=G9TIgGnNCiw,"5,1 mil visualizações",há 1 mês,Muca Samuca Testando
GALAXY A10s O BARATINHO DA SAMSUNG VALE A PENA o PREÇO? #UNBOXING,https://www.youtube.com/watch?v=Y2AKP4nFviA,270 mil visualizações,há 1 ano,TukEmperial
Samsung Galaxy A10S - O que melhorou? Algo piorou? - Analise Completa,https://www.youtube.com/watch?v=agCZwJMmV2Q,379 visualizações,há 1 ano,Adv7 Life Tech
O acessível Galaxy A10S é bom o suficiente? Eu usei (Review),https://www.youtube.com/watch?v=YVNBfJ-rGTI,66 mil visualizações,há 1 ano,Rodrigo Vieira - RSSV
Galaxy A10s - VALE A PENA em 2020?,https://www.youtube.com/watch?v=hXxr0692RcU,49 mil visualizações,há 1 ano,Zoom
"NOVO GALAXY A10S (SIM, MAIS UM!!!) UNBOXING E IMPRESSÕES",https://www.youtube.com/watch?v=8S7KLrWQ_HA,532 mil visualizações,há 1 ano,brasiliGEEKS
Galaxy A10s vs. A20s vs. A30s [Comparativo],https://www.youtube.com/watch?v=34hjRzCIk8g,527 mil visualizações,há 1 ano,Canaltech
GALAXY A10 vs A10s: a Samsung FINALMENTE ACERTOU em um sucessor? | Comparativo,https://www.youtube.com/watch?v=K_MTtcFaht4,232 mil visualizações,há 1 ano,TudoCelular
Samsung Galaxy A10s: Será Que Vale A Pena Comprar? [Análise Completa],https://www.youtube.com/watch?v=QEr9A2koBhc,152 visualizações,há 6 meses,AC Technology
"Como o Galaxy A10S se sai em games pesados? (Call of Duty, Free Fire, Asphalt 9)",https://www.youtube.com/watch?v=uJXh4wxiO2k,46 mil visualizações,há 1 ano,Rodrigo Vieira - RSSV
"Galaxy A10s, A20s, A30s, A51 e A71 [Comparativo]",https://www.youtube.com/watch?v=H_k3MRxVk7A,462 mil visualizações,há 1 ano,Canaltech
"Samsung Galaxy A10, o mais Galaxy J de 2019",https://www.youtube.com/watch?v=BLIhZ77JggI,606 mil visualizações,há 1 ano,Canaltech
"Samsung Galaxy A10s, é BOM ? Veja aí",https://www.youtube.com/watch?v=rl6c5S3fqjc,28 mil visualizações,há 1 ano,MEGA Smartphone
MOTO E7: CELULAR BÁSICO da MOTOROLA com mais CONTRAS do que PRÓS? | Análise / Review,https://www.youtube.com/watch?v=abT5xR5ctzs,38 mil visualizações,há 2 meses,TudoCelular
MOTO E7 | Câmera PODEROSA abaixo dos 1000 REAIS! Análise / Review,https://www.youtube.com/watch?v=8JXdfLzMbTM,21 mil visualizações,há 5 meses,brasiliGEEKS
"Moto E7 é bom? Vale a Pena? Análise/Review/Ficha Técnica (Cinza Metálico, Aquamarine e Cobre)",https://www.youtube.com/watch?v=5L0-MDWsvMY,"4,9 mil visualizações",há 5 meses,Canal É Bom?
MOTO E7 PLUS: definições de CELULAR BOM e BARATO atualizadas com SUCESSO | Análise / Review,https://www.youtube.com/watch?v=xZEIOL1dzcE,232 mil visualizações,há 7 meses,TudoCelular
