comments_id,comment-date,comment-author,comment,comment-likes,video-id,video-title,video-date,video-link,video-likes,video-views,video-channel,video-comment-count,final_type,transformed_comment
0.UgwozCGH-HDyIES2ciF4AaABAg,2020-12-20T22:44:18Z,POP 0stras,Uma porcaria. Comprei faz 3 meses. Muito arrependida. Buga o tempo todo. Tem que reiniciar para voltar a funcionar. Não recomendo. Vai ser prejuízo e decepção para quem comprar...,0,jSv8fxe3_KU,"GALAXY NOTE 10 LITE, FAZ SENTIDO COMPRAR? [Hands-On]",2020-02-19T16:00:09Z,https://www.youtube.com/watch?v=jSv8fxe3_KU,18773,307422,Canaltech,1013,-1, porc compr faz 3 mes arrepend bug temp tod reinic volt funcion nao recom vai ser prejuiz decepca compr 
3.Ugzuo_fNCeU10B0Iqv54AaABAg,2021-04-19T01:28:56Z,tout a commencé en France,Assistindo com o meu a51 e agora estou querendo o s21 kkkkkkk,10,6LwYbm71AJM,Review GALAXY S21 ULTRA! Agora sim a SAMSUNG fez o que DEVERIA ter FEITO! Análise completa!,2021-04-07T22:00:01Z,https://www.youtube.com/watch?v=6LwYbm71AJM,5287,91701,Be!Tech,430,1, assist a51 agor quer s21 kkkkkkk
4.UgzaPxJpaltmYRPm7WZ4AaABAg,2021-06-03T22:58:59Z,Tasio de Luanda Luanda,Bom eu tenho problemas e com poeira água e queda,0,5JWFHfF4nGg,SAMSUNG GALAXY M31 // um INTERMEDIÁRIO com 6000mAh de BATERIA e 128GB de armazenamento!,2020-07-09T21:19:36Z,https://www.youtube.com/watch?v=5JWFHfF4nGg,22040,304881,EscolhaSegura,1413,1, bom problem poeir agu qued
5.Ugxg7N1mhRETPeDd0jB4AaABAg,2021-03-04T02:37:38Z,ᴘ ʀ ɪ ɴ ᴄ ᴇ s ᴀッ™,Se no Samsung vier os emoji do iPhone eu me rendo 🙇‍♀️🙇‍♀️🙇‍♀️ por enquanto no xaiomi que é mais barato KKKKKKK,0,vOVz5rPk2vU,GALAXY NOTE 10 e GALAXY NOTE 10 PLUS!,2019-08-07T23:00:51Z,https://www.youtube.com/watch?v=vOVz5rPk2vU,196838,2130935,Coisa de Nerd,5604,0, samsung vier emoj iphon rend :pessoa_fazendo_reverencia: :simbolo_de_feminino: :pessoa_fazendo_reverencia: :simbolo_de_feminino: :pessoa_fazendo_reverencia: :simbolo_de_feminino: enquant xaiom barat kkkkkkk
6.Ugwxvye3XUXp-6GdwxV4AaABAg,2021-03-03T20:09:55Z,Eu Mesmo,"Smartphone gamer muito excelentente msm, mas fiquei muito desapontado pq n veio o fone e nem a placa de video q prometia",0,TdALKXTVZRU,ROG PHONE 3: UNBOXING DO SMARTPHONE MAIS PODEROSO DE 2020!,2020-07-22T15:30:08Z,https://www.youtube.com/watch?v=TdALKXTVZRU,62254,942191,Loop Infinito,2266,0, smartphon gam excelentent msm fiqu desapont pq n vei fon plac vid promet
7.UgyDeMj0hgG4LV-Huqd4AaABAg,2021-06-26T18:53:54Z,Vivendo como um Girassol🌻,"O MOTO G9 POWER está em promoção, 1.300!🤧",1,efbnQ2I3zIg,CHEGOU! Motorola MOTO G9 POWER com FORÇA TOTAL? Unboxing e Impressões,2020-12-10T12:00:09Z,https://www.youtube.com/watch?v=efbnQ2I3zIg,34967,419324,Gesiel Taveira,1907,0, mot g9 pow promoca 1 300 :rosto_espirrando: 
8.UgyUFnshquFgIVYR1-x4AaABAg,2021-02-28T21:44:34Z,TURBINHO GAMES,É tenho uma pergunta sobre a tela não é amoled mais é otima até aí tudo bem mais no video do poco x3 creticam a mesma tela,0,mp_aDo-uH6I,"Xiaomi Mi 10T e 10T Pro, valem a pena ou não? [Análise/Review]",2021-01-27T14:00:53Z,https://www.youtube.com/watch?v=mp_aDo-uH6I,7419,128625,Canaltech,495,0, pergunt sobr tel nao amoled otim ai tud bem vid poc x3 cretic mesm tel
9.Ugw2bqwrecFWRBCeEBp4AaABAg,2021-02-08T01:43:13Z,Junior Rodrigues,"Celular mt bom, vou comprar um",1,UOczVkDtNy0,"Análise do Samsung Galaxy A71: 06 meses depois, VALE A PENA?",2020-09-06T21:30:00Z,https://www.youtube.com/watch?v=UOczVkDtNy0,11642,249103,Mundo Conectado,1327,1, celul mt bom vou compr
11.Ugy_TOehKAkZ6XB72GB4AaABAg,2021-04-05T14:47:04Z,Julio Terra,A minha câmera frontal não tá mais subindo oq eu fasso ?,1,PYjG8-nKyJI,MOTOROLA ONE FUSION PLUS! O que ela NÃO poderia ter feito de JEITO NENHUM! Motorola one fusion+,2020-08-24T22:42:10Z,https://www.youtube.com/watch?v=PYjG8-nKyJI,6266,80960,Dudu Rocha,615,0, cam frontal nao ta sub oq fass 
16.Ugxag8fKqieMgJoZIMN4AaABAg,2020-06-28T16:27:51Z,cresci logo santos,Eu tô querendo comprar um sansumg tô com medo a bateria não é tão bao,0,Jl5x6H15zAg,SAMSUNG GALAXY NOTE 10 PLUS (review) A REAL!!,2019-10-06T14:51:30Z,https://www.youtube.com/watch?v=Jl5x6H15zAg,17809,343513,Dudu Rocha,908,1, to quer compr sansumg to med bat nao tao bao
18.Ugx03cR99TEolysJM6t4AaABAg,2021-06-24T12:16:01Z,Jeyciane Vieira,"Comprei o note 9 e tou achando a abertura da câmera demora um pouco, no carregador tambem ela demora a abrir e ja chegou a travar duas vezes, então entre a linha xiaomi T e o note 8 melhor eles mesmos nao vi muita diferença",0,4DV9lgzEKcI,"Redmi Note 9, esse XIAOMI tá vendendo MUITO! Será uma BOA OPÇÃO pra VOCÊ? Assista esse vídeo",2020-08-11T15:10:00Z,https://www.youtube.com/watch?v=4DV9lgzEKcI,50925,743566,Gesiel Taveira,4488,-1, compr not 9 tou achand abertur cam demor pouc carreg demor abrir cheg trav duas vez enta linh xiaom t not 8 melhor mesm nao vi muit diferenc
19.Ugxf5jh0MmVJkqRNmpV4AaABAg,2020-11-11T05:09:57Z,Marcio Pina,Mi 10 t 5G e melhor q s20 ultra???,0,tbf7M86iZd4,XIAOMI Mi 10T Lite 5G - ME APAIXONEI ❤️,2020-10-28T22:00:07Z,https://www.youtube.com/watch?v=tbf7M86iZd4,12254,177329,K Tech,844,0, mi 10 t 5g melhor s20 ultra 
20.Ugz0bZ_mnOeV09U1vtB4AaABAg,2021-04-27T18:57:25Z,Danilo Ribeiro,Faz a comparação dele  com A02s,3,-gANghKyLiY,"MOTO E7 POWER (Sim, MAIS UM)! BATERIA ENORME e Preço ABAIXO dos MIL REAIS | Unboxing e Impressões",2021-02-23T22:27:27Z,https://www.youtube.com/watch?v=-gANghKyLiY,3034,53330,brasiliGEEKS,348,1, faz comparaca a02s
21.UgwwmWu_TF6EDd4VREB4AaABAg,2020-06-03T00:28:12Z,Cleber S,"Vou ter que voltar para a Motorola depois de saber desse Edge +. Top demais. Só vem, bebê...",0,pFmhq7PfTZs,MELHORES Motorola de 2020: Edge e Edge+,2020-04-22T16:00:35Z,https://www.youtube.com/watch?v=pFmhq7PfTZs,32933,365746,Canaltech,1680,1, vou ter volt motorol sab dess edge top dem vem beb 
22.UgzEXqzkGI3QVa7-5m94AaABAg,2021-01-20T21:05:27Z,Sophia Alves,Comprei A10 s espero seja top,0,h9lBf0X_xFY,SAMSUNG GALAXY A10s: o básico que é quase BOM E BARATO,2020-01-14T22:49:21Z,https://www.youtube.com/watch?v=h9lBf0X_xFY,9324,264074,TudoCelular,881,0, compr a10 s esper top
